run_id,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var,RF_baseline
168784,23,0.6572,0.9129,0.7795,10.01,3137.21,0.8102564102564103
168784,24,0.6573,0.917,0.7795,9.94,3325.61,0.8102564102564103
168784,25,0.6574,0.9227,0.7846,9.89,3521.77,0.8102564102564103
168784,26,0.6577,0.929,0.7846,9.85,3702.37,0.8102564102564103
168784,27,0.6578,0.933,0.7897,9.96,3893.23,0.8102564102564103
168784,28,0.6578,0.9376,0.7846,9.96,4059.36,0.8102564102564103
168784,29,0.6577,0.9422,0.7897,10.11,4235.28,0.8102564102564103
168784,30,0.6578,0.9462,0.7897,10.16,4391.45,0.8102564102564103
168784,31,0.6579,0.9525,0.7897,10.22,4521.91,0.8102564102564103
168784,32,0.658,0.9559,0.7897,10.34,4712.22,0.8102564102564103
168784,33,0.6578,0.9576,0.7897,10.36,4933.67,0.8102564102564103
168784,34,0.6578,0.9593,0.7897,10.39,5153.85,0.8102564102564103
168784,35,0.6579,0.9611,0.7897,10.45,5381.0,0.8102564102564103
168784,36,0.658,0.9628,0.7897,10.44,5561.92,0.8102564102564103
168784,37,0.658,0.9651,0.7897,10.48,5730.0,0.8102564102564103
168784,38,0.658,0.9674,0.7897,10.48,5892.71,0.8102564102564103
168784,39,0.6581,0.9702,0.7897,10.51,6042.92,0.8102564102564103
168784,40,0.6582,0.9742,0.7897,10.49,6188.73,0.8102564102564103
168784,41,0.6582,0.9765,0.7897,10.49,6327.67,0.8102564102564103
168784,42,0.6584,0.9788,0.7897,10.53,6445.82,0.8102564102564103
168784,43,0.6587,0.9794,0.7897,10.51,6533.69,0.8102564102564103
168784,44,0.6588,0.9817,0.7949,10.49,6617.77,0.8102564102564103
168784,45,0.6588,0.9834,0.7949,10.49,6692.61,0.8102564102564103
168784,46,0.6589,0.9857,0.7949,10.52,6746.04,0.8102564102564103
168784,47,0.659,0.9868,0.7949,10.55,6802.89,0.8102564102564103
168784,48,0.6592,0.9868,0.7897,10.55,6844.2,0.8102564102564103
168784,49,0.6592,0.9868,0.7949,10.57,6891.02,0.8102564102564103
168784,0,0.6091,0.7411,0.7231,4.54,121.05,0.8153846153846154
168784,1,0.6091,0.7411,0.7231,4.54,121.05,0.8153846153846154
168784,2,0.6206,0.7629,0.7385,6.28,280.32,0.8153846153846154
168784,3,0.6294,0.7875,0.7436,8.74,501.7,0.8153846153846154
168784,4,0.6361,0.8024,0.7385,10.29,598.19,0.8153846153846154
168784,5,0.6408,0.8121,0.759,10.8,671.56,0.8153846153846154
168784,6,0.6435,0.8265,0.7641,10.85,786.71,0.8153846153846154
168784,7,0.6464,0.8391,0.7692,11.25,930.68,0.8153846153846154
168784,8,0.6479,0.8448,0.7538,11.5,1057.46,0.8153846153846154
168784,9,0.6489,0.8522,0.7692,11.48,1153.98,0.8153846153846154
168784,10,0.6505,0.8585,0.7692,11.47,1227.02,0.8153846153846154
168784,11,0.6508,0.866,0.7692,11.21,1313.34,0.8153846153846154
168784,12,0.6516,0.8734,0.7641,11.01,1422.58,0.8153846153846154
