run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var,RF_baseline,RF_height
359959,5,10,1,0.448,0.427,0.426,7.27,65.326,0.574,2.56
359959,5,10,2,0.464,0.427,0.426,9.213,87.925,0.574,2.56
359959,5,10,3,0.474,0.427,0.426,9.701,96.111,0.574,2.56
359959,5,10,4,0.481,0.43,0.426,9.43,96.828,0.574,2.56
359959,5,10,5,0.486,0.497,0.466,9.643,101.192,0.574,2.56
359959,5,10,6,0.486,0.542,0.486,9.856,103.629,0.574,2.56
359959,5,10,7,0.489,0.57,0.527,10.482,110.063,0.574,2.56
359959,5,10,8,0.492,0.58,0.541,11.222,111.743,0.574,2.56
359959,5,10,9,0.494,0.607,0.561,11.738,113.484,0.574,2.56
359959,5,10,10,0.495,0.608,0.561,12.179,116.518,0.574,2.56
359959,5,10,11,0.496,0.613,0.568,12.528,117.837,0.574,2.56
359959,5,10,12,0.497,0.616,0.574,12.693,116.538,0.574,2.56
359959,5,10,13,0.498,0.614,0.568,12.682,115.145,0.574,2.56
359959,5,10,14,0.5,0.613,0.568,12.558,113.316,0.574,2.56
359959,5,10,15,0.501,0.611,0.561,12.517,111.906,0.574,2.56
359959,5,10,16,0.502,0.609,0.561,12.455,110.123,0.574,2.56
359959,5,10,17,0.502,0.609,0.561,12.311,107.563,0.574,2.56
359959,5,10,18,0.503,0.608,0.561,12.184,105.826,0.574,2.56
359959,5,10,19,0.504,0.613,0.574,12.094,103.806,0.574,2.56
359959,5,10,20,0.504,0.61,0.574,12.111,102.999,0.574,2.56
359959,5,10,21,0.504,0.612,0.574,12.176,102.472,0.574,2.56
359959,5,10,22,0.504,0.611,0.574,12.197,101.769,0.574,2.56
359959,5,10,23,0.504,0.612,0.574,12.221,101.183,0.574,2.56
359959,5,10,24,0.504,0.612,0.574,12.173,100.386,0.574,2.56
359959,5,10,25,0.504,0.612,0.574,12.125,99.268,0.574,2.56
359959,5,10,26,0.504,0.613,0.581,12.096,98.414,0.574,2.56
359959,5,10,27,0.504,0.612,0.581,12.097,98.168,0.574,2.56
359959,5,10,28,0.504,0.612,0.588,11.979,96.83,0.574,2.56
359959,5,10,29,0.504,0.615,0.588,11.934,95.976,0.574,2.56
359959,5,10,30,0.505,0.614,0.588,11.884,95.148,0.574,2.56
359959,5,10,31,0.504,0.612,0.588,11.902,94.703,0.574,2.56
359959,5,10,32,0.504,0.61,0.588,11.86,94.113,0.574,2.56
359959,5,10,33,0.505,0.609,0.595,11.785,93.508,0.574,2.56
359959,5,10,34,0.505,0.608,0.595,11.726,93.027,0.574,2.56
359959,5,10,35,0.505,0.608,0.588,11.672,92.604,0.574,2.56
359959,5,10,36,0.505,0.611,0.588,11.629,92.59,0.574,2.56
359959,5,10,37,0.505,0.61,0.588,11.598,92.175,0.574,2.56
359959,5,10,38,0.506,0.609,0.595,11.558,91.843,0.574,2.56
359959,5,10,39,0.506,0.609,0.595,11.498,91.243,0.574,2.56
359959,5,10,40,0.506,0.611,0.595,11.409,90.482,0.574,2.56
359959,5,10,41,0.506,0.609,0.595,11.327,89.91,0.574,2.56
359959,5,10,42,0.506,0.611,0.595,11.243,89.142,0.574,2.56
359959,5,10,43,0.506,0.609,0.595,11.129,88.251,0.574,2.56
359959,5,10,44,0.507,0.606,0.595,10.987,87.303,0.574,2.56
359959,5,10,45,0.507,0.606,0.595,10.907,86.85,0.574,2.56
359959,5,10,46,0.507,0.607,0.595,10.844,86.312,0.574,2.56
359959,5,10,47,0.507,0.607,0.595,10.787,85.952,0.574,2.56
359959,5,10,48,0.507,0.609,0.595,10.793,85.942,0.574,2.56
359959,5,10,49,0.507,0.608,0.595,10.752,85.681,0.574,2.56
168784,13,25,0,0.553,0.614,0.61,8.546,193.388,0.821,3.87
168784,13,25,1,0.553,0.614,0.61,8.546,193.388,0.821,3.87
168784,13,25,2,0.583,0.699,0.682,7.811,165.733,0.821,3.87
168784,13,25,3,0.594,0.719,0.687,7.21,145.097,0.821,3.87
168784,13,25,4,0.604,0.734,0.708,6.877,126.286,0.821,3.87
168784,13,25,5,0.608,0.746,0.723,6.579,113.801,0.821,3.87
168784,13,25,6,0.61,0.749,0.718,6.423,109.232,0.821,3.87
168784,13,25,7,0.613,0.751,0.718,6.217,106.001,0.821,3.87
168784,13,25,8,0.613,0.752,0.718,6.271,105.593,0.821,3.87
168784,13,25,9,0.615,0.752,0.713,6.241,104.302,0.821,3.87
168784,13,25,10,0.617,0.756,0.718,6.133,103.234,0.821,3.87
168784,13,25,11,0.617,0.755,0.718,6.06,101.857,0.821,3.87
168784,13,25,12,0.619,0.758,0.718,6.018,103.398,0.821,3.87
168784,13,25,13,0.619,0.758,0.718,6.089,106.873,0.821,3.87
168784,13,25,14,0.621,0.759,0.713,5.89,107.279,0.821,3.87
168784,13,25,15,0.623,0.761,0.723,5.762,106.998,0.821,3.87
168784,13,25,16,0.623,0.765,0.723,5.876,112.444,0.821,3.87
168784,13,25,17,0.621,0.765,0.723,6.077,117.076,0.821,3.87
168784,13,25,18,0.622,0.766,0.718,6.143,119.124,0.821,3.87
168784,13,25,19,0.622,0.764,0.718,6.274,122.734,0.821,3.87
168784,13,25,20,0.622,0.766,0.718,6.337,125.174,0.821,3.87
168784,13,25,21,0.622,0.765,0.718,6.331,127.942,0.821,3.87
168784,13,25,22,0.623,0.766,0.718,6.349,131.117,0.821,3.87
168784,13,25,23,0.623,0.767,0.718,6.449,139.537,0.821,3.87
