run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg,avg_default_params
359955,2,10,79,0.775,0.787,5.273,5.44,5.0,219.647,13.016,9.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.7
359955,2,10,80,0.776,0.787,5.24,5.449,5.0,217.373,13.047,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.76
359955,2,10,81,0.776,0.787,5.21,5.458,5.0,215.119,13.078,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.8
359955,2,10,82,0.776,0.787,5.18,5.469,5.0,212.856,13.115,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.75
359955,2,10,83,0.776,0.793,5.149,5.479,5.0,210.754,13.162,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.65
359955,2,10,84,0.776,0.793,5.116,5.488,5.0,208.668,13.205,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.76
359955,2,10,85,0.776,0.793,5.08,5.498,5.0,206.514,13.243,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.86
359955,2,10,86,0.776,0.793,5.054,5.508,5.0,204.466,13.282,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.87
359955,2,10,87,0.776,0.793,5.024,5.515,5.0,202.469,13.315,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.86
359955,2,10,88,0.777,0.793,4.993,5.523,5.0,200.502,13.347,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.86
359955,2,10,89,0.777,0.793,4.974,5.534,5.0,198.639,13.385,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.8
359955,2,10,90,0.777,0.793,4.948,5.544,5.0,196.773,13.418,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.67
359955,2,10,91,0.777,0.793,4.924,5.556,6.0,195.043,13.465,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.79
359955,2,10,92,0.777,0.793,4.891,5.563,6.0,193.193,13.498,11.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.86
359955,2,10,93,0.777,0.793,4.865,5.57,6.0,191.421,13.53,11.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.75
359955,2,10,94,0.777,0.793,4.843,5.579,6.0,189.734,13.56,11.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.81
359955,2,10,95,0.777,0.793,4.815,5.587,6.0,188.041,13.592,11.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.85
359955,2,10,96,0.778,0.793,4.788,5.597,6.0,186.45,13.629,11.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.83
359955,2,10,97,0.778,0.793,4.761,5.606,6.0,184.81,13.67,11.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.84
359955,2,10,98,0.778,0.793,4.733,5.615,6.0,183.165,13.703,11.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.8
359955,2,10,99,0.778,0.793,4.712,5.622,6.0,181.562,13.731,12.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.79
168911,17,10,0,0.718,0.807,6.782,20.09,20.0,67.542,175.72,177.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,6.0
168911,17,10,1,0.718,0.807,6.782,20.09,20.0,67.542,175.72,177.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,4.65
168911,17,10,2,0.727,0.799,31.155,18.073,19.0,3872.035,155.203,175.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,3.53
168911,17,10,3,0.738,0.801,49.923,15.32,18.0,6402.419,122.475,167.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,3.05
168911,17,10,4,0.744,0.802,55.241,13.462,16.0,7011.346,101.066,135.5,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,2.84
168911,17,10,5,0.748,0.807,55.527,12.237,11.0,6916.155,87.462,44.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,2.62
168911,17,10,6,0.752,0.809,53.767,11.379,9.0,6598.562,77.669,30.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,2.67
168911,17,10,7,0.754,0.809,51.417,10.796,8.0,6212.046,70.918,19.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,2.44
168911,17,10,8,0.756,0.807,48.866,10.346,7.0,5862.707,65.841,16.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,2.06
168911,17,10,9,0.758,0.804,46.605,9.993,7.0,5551.294,61.761,14.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,1.95
168911,17,10,10,0.759,0.804,44.356,9.748,7.0,5251.832,58.751,14.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,1.74
168911,17,10,11,0.761,0.804,42.473,9.409,6.0,4987.445,55.026,11.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,1.58
168911,17,10,12,0.762,0.802,40.392,9.205,6.0,4722.666,52.351,10.5,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,1.39
168911,17,10,13,0.763,0.804,38.703,9.024,6.0,4498.877,49.941,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.93
168911,17,10,14,0.763,0.802,37.212,8.853,6.0,4290.218,48.017,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,1.19
168911,17,10,15,0.764,0.801,35.859,8.698,5.0,4116.35,46.359,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,1.04
168911,17,10,16,0.765,0.801,34.443,8.579,5.0,3936.789,44.833,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,1.0
168911,17,10,17,0.766,0.801,33.449,8.424,5.0,3793.192,43.343,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.98
168911,17,10,18,0.766,0.799,32.479,8.279,5.0,3650.508,41.947,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.95
168911,17,10,19,0.766,0.799,31.517,8.166,5.0,3538.169,40.869,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,1.0
168911,17,10,20,0.767,0.799,30.6,8.059,5.0,3409.527,39.77,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.99
168911,17,10,21,0.767,0.799,29.668,7.972,5.0,3292.236,38.784,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.93
168911,17,10,22,0.767,0.799,28.886,7.902,5.0,3189.422,38.078,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.95
168911,17,10,23,0.768,0.801,28.124,7.842,5.0,3108.261,37.432,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.95
168911,17,10,24,0.768,0.801,27.399,7.785,5.0,3012.507,36.73,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.93
168911,17,10,25,0.768,0.801,26.826,7.742,5.0,2938.638,36.174,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.85
168911,17,10,26,0.769,0.801,26.239,7.711,5.0,2863.959,35.737,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.87
168911,17,10,27,0.769,0.801,25.679,7.671,5.0,2792.088,35.22,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.91
168911,17,10,28,0.769,0.801,25.133,7.631,5.0,2725.406,34.72,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.95
168911,17,10,29,0.769,0.801,24.616,7.581,5.0,2658.331,34.117,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.96
168911,17,10,30,0.77,0.801,24.184,7.552,5.0,2597.127,33.669,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.93
168911,17,10,31,0.77,0.801,23.893,7.541,5.0,2544.687,33.416,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.89
168911,17,10,32,0.77,0.801,23.683,7.535,5.0,2504.199,33.208,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.81
168911,17,10,33,0.769,0.801,23.575,7.551,5.0,2466.8,33.067,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.82
168911,17,10,34,0.769,0.804,23.581,7.578,5.0,2424.076,32.919,9.0,0.806,7.011,21.99,22.0,183.933,304.63,305.0,0.717,0.83
