run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,leaves_var,RF_baseline,RF_height,RF_leaves,RF_avg
168784,10,2,18,0.657,0.764,21.765,4074.414,0.831,3.961,151.529,0.638
168784,10,2,19,0.657,0.769,21.906,4109.959,0.831,3.961,151.529,0.638
168784,10,2,20,0.657,0.764,22.184,4173.149,0.831,3.961,151.529,0.638
168784,10,2,21,0.657,0.769,22.194,4132.338,0.831,3.961,151.529,0.638
168784,10,2,22,0.657,0.769,22.028,4111.318,0.831,3.961,151.529,0.638
168784,10,2,23,0.657,0.769,22.223,4146.474,0.831,3.961,151.529,0.638
168784,10,2,24,0.657,0.769,22.33,4107.705,0.831,3.961,151.529,0.638
168784,10,2,25,0.657,0.769,22.536,4210.185,0.831,3.961,151.529,0.638
168784,10,2,26,0.657,0.769,22.515,4209.389,0.831,3.961,151.529,0.638
168784,10,2,27,0.657,0.769,22.606,4212.431,0.831,3.961,151.529,0.638
168784,10,2,28,0.657,0.764,22.538,4214.123,0.831,3.961,151.529,0.638
168784,10,2,29,0.657,0.764,22.509,4202.558,0.831,3.961,151.529,0.638
168784,10,2,30,0.658,0.764,22.411,4202.372,0.831,3.961,151.529,0.638
168784,10,2,31,0.657,0.764,22.459,4201.215,0.831,3.961,151.529,0.638
168784,10,2,32,0.657,0.764,22.402,4197.407,0.831,3.961,151.529,0.638
168784,10,2,33,0.657,0.764,22.323,4168.96,0.831,3.961,151.529,0.638
168784,10,2,34,0.657,0.764,22.257,4175.75,0.831,3.961,151.529,0.638
168784,10,2,35,0.657,0.764,22.262,4161.195,0.831,3.961,151.529,0.638
